Team Alpha,Team Beta
30.993428306022466,29.296586775541208
29.72347139765763,34.20455636901787
31.295377076201383,30.47300555052413
33.04605971281605,28.3845781420882
29.531693250553328,32.14508982420638
29.53172608610164,28.058312700057954
33.15842563101478,30.91772719000951
31.534869458305817,26.58065975224045
29.061051228130097,27.84362790220314
31.08512008717193,30.893722471738247
29.073164614375074,31.97693315999082
29.068540492859487,30.84273656237994
30.48392454313207,30.268703435223518
26.173439510684403,29.897792608821423
26.550164334973935,27.542956019265144
28.875424941518055,29.060311583210584
27.974337759331153,29.578722458080424
30.628494665190548,32.61424445243783
28.183951848957577,31.187236579136922
27.175392597329417,26.97391968927453
32.93129753784311,31.14816793878959
29.54844739902693,29.729835439167367
30.13505640937585,29.146155999388082
27.150503627573087,31.723352577681737
28.911234550949636,32.5619990449919
30.22184517941973,32.3625602382324
27.698012845155393,28.821564953554724
30.751396036691343,29.881575248297573
28.79872262016239,31.162526862807127
29.416612500413446,32.45109025424472
